capture deck, Deck Cable Out,A/D Converter, A/D Converter Cable Out
Yamaha C300 Rack 1;NU-42006,XLR,Metric Halo Rack 1;NU-11260,USB-C
Yamaha C300 Rack 2;NU-10510,XLR,Metric Halo Rack 2;NU-11266,USB-C
Otari MX5050 BII-2 into Rack 1;NU-10514,XLR,Metric Halo Rack 1;11260,USB-C
Otari MX5050 BII-2 into Rack 2;NU-10514,XLR,Metric Halo Rack 2;NU-11266,USB-C
Otari MX5050 B3-2 into Rack 1;NU-11261,XLR,Metric Halo Rack 1; NU-11260,USB-C
Otari MX5050 B3-2 into Rack 2;NU-11261,XLR,Metric Halo Rack 2; NU-11266,USB-C
JCorder into Rack 1;NU-11377, XLR, Metric Halo Rack 1;NU-11260,USB-C
JCorder into Rack 2;NU-11377, XLR, Metric Halo Rack 2;NU-11266,USB-C
Stanton T.92 into Rack 1;NU-11378,XLR,Metric Halo Rack 1;NU-11260, USB-C
Stanton T.92 into Rack 2;NU-11378,XLR,Metric Halo Rack 2;NU-11266, USB-C